종목명,기준일,수주잔고(억원)
신원,20240814,1843.2
삼화전기,20260515,315.4
삼화전기,20251114,325.8
삼화전기,20250814,313.5
삼화전기,20250515,443.2
삼화전기,20241114,161.7
삼화전기,20240808,355.3
한국무브넥스,20260515,4428.4
한국무브넥스,20251114,12773.8
한국무브넥스,20250814,8653.8
한국무브넥스,20250515,4299.8
한국무브넥스,20250318,15674.1
한국무브넥스,20241114,11674.4
한국무브넥스,20240814,13713.5
우진아이엔에스,20260515,1375.9
우진아이엔에스,20251114,1001.7
우진아이엔에스,20250813,1001.7
우진아이엔에스,20250515,1001.7
우진아이엔에스,20250321,840.5
우진아이엔에스,20241114,840.5
우진아이엔에스,20240814,840.5
화천기계,20260515,397.4
화천기계,20251114,6798.5
화천기계,20250814,4709.9
화천기계,20250515,471.3
화천기계,20250312,8720.5
화천기계,20241114,6411.9
화천기계,20240814,4298.8
에넥스,20260515,1134.7
에넥스,20251113,1156.4
에넥스,20250813,1128.2
에넥스,20250515,1144.8
에넥스,20241114,1438.7
에넥스,20240813,1627.8
STX,20260515,858.7
STX,20251114,1027.4
STX,20250814,1091.7
STX,20250515,1163.2
STX,20241114,968.7
STX,20240814,858.0
화승코퍼레이션,20260515,2515.7
화승코퍼레이션,20260323,2295.1
화승코퍼레이션,20251114,2418.3
화승코퍼레이션,20250814,2385.1
화승코퍼레이션,20250515,2577.5
